NOMBRE,ZONIFICACION,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
EL CAMPESTRE,CTG_CAP,-1,-1,,,,,,,,
SANTA CLARA,CTG_CBL,-1,-1,,,,,,,,
EL CARMELO,CTG_BLZ,-1,-1,,,,,,,,
VISTA HERMOSA,CTG_SPM,-1,-1,,,,,,,,
CIUDADELA 11 DE NOVIEMBRE,CTG_2000,-1,-1,,,,,,,,
URBANIZACION SIMON BOLIVAR,CTG_2000,-1,-1,,,,,,,,
LA VICTORIA,CTG_CMT,-1,-1,,,,,,,,
LOS JARDINES,CTG_CMT,-1,-1,,,,,,,,
LA CONSOLATA,CTG_CMT,-1,-1,,,,,,,,
VILLA RUBIA,CTG_CMT,-1,-1,,,,,,,,
JORGE ELIECER GAITAN,CTG_CMT,-1,-1,,,,,,,,
LA FLORIDA,CTG_CMT,-1,-1,,,,,,,,
VEINTE DE JULIO SUR,CTG_20J,-1,-1,,,,,,,,
NELSON MANDELA,CTG_NEM,-1,-1,,,,,,,,
CESAR FLOREZ,CTG_CMT,-1,-1,,,,,,,,
LUIS CARLOS GALAN,CTG_SPM,-1,-1,,,,,,,,
EL REPOSO,CTG_SPM,-1,-1,,,,,,,,
EL EDUCADOR,CTG_CMT,-1,-1,,,,,,,,
ROSSEDAL,CTG_CMT,-1,-1,,,,,,,,
MARIA CANO,CTG_CMT,-1,-1,,,,,,,,
CAMILO TORRES,CTG_CMT,-1,-1,,,,,,,,
NUEVA DELHI,CTG_CMT,-1,-1,,,,,,,,
LA ESMERALDA I,CTG_NZR,-1,-1,,,,,,,,
LOS SANTANDERES,CTG_NZR,-1,-1,,,,,,,,
SECTORES UNIDOS,CTG_NZR,-1,-1,,,,,,,,
NUEVA JERUSALEN,CTG_NZR,-1,-1,,,,,,,,
LA SIERRITA,CTG_NZR,-1,-1,,,,,,,,
NAZARENO,CTG_NZR,-1,-1,,,,,,,,
MANUELA VERGARA DE CURI,CTG_NZR,-1,-1,,,,,,,,
JAIME PARDO LEAL,CTG_NZR,-1,-1,,,,,,,,
LA ESMERALDA II,CTG_NZR,-1,-1,,,,,,,,
VILLA BARRAZA,CTG_HNQ,-1,-1,,,,,,,,
VILLA FANNY,CTG_NZR,-1,-1,,,,,,,,
ARROZ BARATO,CTG_ZID,-1,-1,,,,,,,,
PUERTA DE HIERRO,CTG_ZID,-1,-1,,,,,,,,
POLICARPA,CTG_ZID,-1,-1,,,,,,,,
MARBELLA,CTG_NOR,-1,-1,,,,,,,,
BOCAGRANDE,CTG_BCL,-1,-1,,,,,,,,
CENTRO,CTG_CEN,-1,-1,,,,,,,,
FREDONIA,CTG_CRZ,-1,-1,,,,,,,,
CRESPO,CTG_NOR,-1,-1,,,,,,,,
SAN PEDRO MARTIR,CTG_SPM,-1,-1,,,,,,,,
NUEVO PARAISO,CTG_CRZ,-1,-1,,,,,,,,
EL LAGUITO,CTG_BCL,-1,-1,,,,,,,,
LAS BRISAS,CTG_ESP,-1,-1,,,,,,,,
LA MATUNA,CTG_CEN,-1,-1,,,,,,,,
GETSEMANI,CTG_CEN,-1,-1,,,,,,,,
CHAMBACU,CTG_CEN,-1,-1,,,,,,,,
EL CABRERO,CTG_NOR,-1,-1,,,,,,,,
LA MARIA,CTG_EPZ,-1,-1,,,,,,,,
TRECE DE JUNIO,CTG_13J,-1,-1,,,,,,,,
CHAPACUA,CTG_ALP,-1,-1,,,,,,,,
LA TRONCAL,CTG_CLM,-1,-1,,,,,,,,
TACARIGUA,CTG_CLM,-1,-1,,,,,,,,
VIEJO PORVENIR,CTG_CRZ,-1,-1,,,,,,,,
TERNERA,CTG_SFD,-1,-1,,,,,,,,
